# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Jul 24 07:38:22 2018
# Molecular abundance atmprofile: Earth at 4084 m, NASA/MERRA 2017/01/02
# Molecules considered: H2O,CO2,O3,O2
# Molecular sources: HIT[1],HIT[2],HIT[3],HIT[7]
# Molecular abundances: 50,1,1,1
# Molecular abundance units: ppm,scl,scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Frequency[GHz]
# Wave/freq Total H2O CO2 O3 O2
1.000000000e+03  0.10357  0.10477  1.00000  0.99390  0.99428
9.990000000e+02  0.07218  0.07367  1.00000  0.99529  0.98417
9.980000000e+02  0.04579  0.04625  1.00000  0.99382  0.99608
9.970000000e+02  0.02410  0.02426  1.00000  0.99569  0.99761
9.960000000e+02  0.00877  0.00889  1.00000  0.98440  0.99799
9.950000000e+02  0.00105  0.00110  1.00000  0.96541  0.99816
9.940000000e+02  0.00024  0.00031  1.00000  0.84657  0.99826
9.930000000e+02  0.00003  0.00003  1.00000  0.94877  0.99832
9.920000000e+02 -0.00000 -0.00000  1.00000  0.98710  0.99837
9.910000000e+02 -0.00000 -0.00000  1.00000  0.99717  0.99841
9.900000000e+02  0.00000  0.00000  1.00000  0.99798  0.99844
9.890000000e+02  0.00000  0.00000  1.00000  0.99814  0.99847
9.880000000e+02  0.00000  0.00000  1.00000  0.99517  0.99850
9.870000000e+02  0.00000  0.00000  1.00000  0.99672  0.99852
9.860000000e+02  0.00000  0.00000  1.00000  0.99205  0.99854
9.850000000e+02  0.00000  0.00000  1.00000  0.99625  0.99855
9.840000000e+02  0.00000  0.00000  1.00000  0.99151  0.99856
9.830000000e+02  0.00002  0.00003  1.00000  0.86369  0.99854
9.820000000e+02  0.00045  0.00046  1.00000  0.98682  0.99848
9.810000000e+02  0.00279  0.00280  1.00000  0.99555  0.99829
9.800000000e+02  0.00919  0.00954  1.00000  0.96472  0.99717
9.790000000e+02  0.02215  0.02233  1.00000  0.99851  0.99392
9.780000000e+02  0.04085  0.04102  1.00000  0.99806  0.99799
9.770000000e+02  0.06137  0.06234  1.00000  0.98699  0.99842
9.760000000e+02  0.08178  0.08233  1.00000  0.99453  0.99856
9.750000000e+02  0.09490  0.09540  1.00000  0.99619  0.99861
9.740000000e+02  0.09281  0.09382  1.00000  0.99042  0.99864
9.730000000e+02  0.06417  0.06920  1.00000  0.92844  0.99866
9.720000000e+02  0.02566  0.02560  1.00000  0.99757  0.99867
9.710000000e+02  0.00207  0.00209  1.00000  0.98563  0.99868
9.700000000e+02  0.00035  0.00037  1.00000  0.93550  0.99869
9.690000000e+02  0.01452  0.01594  1.00000  0.84730  0.99869
9.680000000e+02  0.08298  0.08376  1.00000  0.98902  0.99870
9.670000000e+02  0.17676  0.17757  1.00000  0.99674  0.99870
9.660000000e+02  0.26003  0.26087  1.00000  0.99810  0.99870
9.650000000e+02  0.32448  0.32563  1.00000  0.99776  0.99870
9.640000000e+02  0.37622  0.37728  1.00000  0.99850  0.99869
9.630000000e+02  0.41768  0.41935  1.00000  0.99737  0.99868
9.620000000e+02  0.45034  0.45413  1.00000  0.99284  0.99867
9.610000000e+02  0.48163  0.48360  1.00000  0.99729  0.99864
9.600000000e+02  0.50455  0.50882  1.00000  0.99303  0.99858
9.590000000e+02  0.47964  0.53056  1.00000  0.90647  0.99849
9.580000000e+02  0.52106  0.55074  1.00000  0.94718  0.99829
9.570000000e+02  0.56321  0.56904  1.00000  0.99194  0.99783
9.560000000e+02  0.56046  0.58534  1.00000  0.96114  0.99628
9.550000000e+02  0.58634  0.60006  1.00000  0.99611  0.98103
9.540000000e+02  0.60444  0.61246  1.00000  0.99697  0.98987
9.530000000e+02  0.61797  0.62157  1.00000  0.99738  0.99681
9.520000000e+02  0.62518  0.62995  1.00000  0.99441  0.99802
9.510000000e+02  0.58960  0.63786  1.00000  0.92598  0.99837
9.500000000e+02  0.63524  0.64540  1.00000  0.98566  0.99853
9.490000000e+02  0.58909  0.65259  1.00000  0.90406  0.99862
9.480000000e+02  0.65556  0.65943  1.00000  0.99550  0.99867
9.470000000e+02  0.66333  0.66582  1.00000  0.99756  0.99870
9.460000000e+02  0.66935  0.67143  1.00000  0.99818  0.99872
9.450000000e+02  0.66196  0.67258  1.00000  0.98539  0.99873
9.440000000e+02  0.67930  0.68259  1.00000  0.99644  0.99873
9.430000000e+02  0.68581  0.68955  1.00000  0.99582  0.99874
9.420000000e+02  0.69320  0.69524  1.00000  0.99832  0.99874
9.410000000e+02  0.69851  0.70041  1.00000  0.99854  0.99874
9.400000000e+02  0.70228  0.70519  1.00000  0.99713  0.99874
9.390000000e+02  0.70738  0.70928  1.00000  0.99858  0.99874
9.380000000e+02  0.71087  0.71309  1.00000  0.99815  0.99874
9.370000000e+02  0.70971  0.71775  1.00000  0.99004  0.99874
9.360000000e+02  0.71450  0.72138  1.00000  0.99173  0.99873
9.350000000e+02  0.72025  0.72441  1.00000  0.99553  0.99873
9.340000000e+02  0.71373  0.72694  1.00000  0.98309  0.99873
9.330000000e+02  0.60684  0.72888  1.00000  0.83357  0.99872
9.320000000e+02  0.71839  0.73003  1.00000  0.98531  0.99871
9.310000000e+02  0.72681  0.73031  1.00000  0.99649  0.99871
9.300000000e+02  0.72653  0.72951  1.00000  0.99722  0.99870
9.290000000e+02  0.72385  0.72720  1.00000  0.99670  0.99869
9.280000000e+02  0.70444  0.72306  1.00000  0.97548  0.99867
9.270000000e+02  0.69555  0.71630  1.00000  0.97232  0.99866
9.260000000e+02  0.67617  0.70616  1.00000  0.95893  0.99863
9.250000000e+02  0.63061  0.69176  1.00000  0.91323  0.99859
9.240000000e+02  0.66579  0.66916  1.00000  0.99642  0.99852
9.230000000e+02  0.63237  0.63495  1.00000  0.99755  0.99838
9.220000000e+02  0.58524  0.58714  1.00000  0.99872  0.99804
9.210000000e+02  0.51255  0.51508  1.00000  0.99824  0.99679
9.200000000e+02  0.39591  0.40496  1.00000  0.98726  0.98886
9.190000000e+02  0.24072  0.24991  1.00000  0.97024  0.99128
9.180000000e+02  0.09707  0.09750  1.00000  0.99747  0.99744
9.170000000e+02  0.00836  0.00840  1.00000  0.99823  0.99808
9.160000000e+02  0.00001  0.00001  1.00000  0.99876  0.99829
9.150000000e+02  0.02427  0.02439  1.00000  0.99726  0.99837
9.140000000e+02  0.14608  0.14655  1.00000  0.99817  0.99840
9.130000000e+02  0.31554  0.31663  1.00000  0.99819  0.99841
9.120000000e+02  0.44968  0.45606  1.00000  0.98763  0.99840
9.110000000e+02  0.54968  0.55247  1.00000  0.99657  0.99839
9.100000000e+02  0.61331  0.61837  1.00000  0.99344  0.99837
9.090000000e+02  0.62280  0.66162  1.00000  0.94354  0.99835
9.080000000e+02  0.60089  0.68736  1.00000  0.87497  0.99832
